,1_Individual,2_Household,3_Village   ,4_Community,5_User groups,6_Watershed,7_Sub-Regional,8_State ,9_National,10_Regional ,11_International ,social_mgmt
1_Transect ,0,0,0,0,0,0,1,1,1,5,1,
2_Patch reef,0,0,0,0,0,0,0,0,0,6,0,
3_Village   ,0,0,0,0,0,0,0,0,0,4,0,
4_Community,0,0,0,0,0,0,1,1,0,5,0,
5_Watershed,0,0,0,0,0,0,1,0,0,3,0,
6_Sub-Regional - district,0,0,1,0,1,0,1,0,0,2,0,
7_Sub-Regional - island,0,0,1,0,0,0,1,0,0,4,0,
8_State ,0,0,0,0,0,0,1,0,0,9,2,
9_National,0,0,0,0,0,0,0,0,0,6,0,
10_Regional ,0,0,0,0,0,0,0,0,1,1,0,
11_International ,0,0,0,0,0,0,0,0,0,0,0,
